AJxt_anchor,FAQ
AJxu_anchor,Acknowledgement
AJx3_anchor,WebLEM Committee Members
AJx4_anchor,Introduction
AJx5_anchor,Proper Use of LEM
AJx6_anchor,Copyright
Agdh_anchor,Basic Assumptions
AJx8_anchor,Online Piping and Usage Specification (OPUS)
AJx9_anchor,Cleanroom Procedures
AJx9AJx__anchor,Preface
AJx9AJx7_anchor,Basic Assumptions
AJx9AYp1_anchor,Basic Considerations
AJx9AYpf_anchor,Classes of Cleanrooms
AJx9AYpg_anchor,List of Typical Equipment Requirements
AJx9AYph_anchor,Reports/Logs
AJyA_anchor,Computerized Estimating
AJyAAJyB_anchor,Software Companies Authorized to use WebLEM Data
AJyC_anchor,Correction Factors
AJyCAJyE_anchor,Labor Correction Factors
AJyCAYpj_anchor,Wind Chill / Humidity Chart
AJyCAYpi_anchor,Premium Time & Inefficiency On Overtime Work
AJyCAYpiAYp3_anchor,Overtime Multiplier (1-1/2 Time) 
AJyCAYpiAYp2_anchor,Overtime Multiplier (Double Time)
AYeq_anchor,Excavation & Backfill
AYeqAYpk_anchor,Maximum Allowable Slopes
AYeqAYpl_anchor,Planning Considerations
AYeqAYpm_anchor,Sample Calculations
AYeqAYpn_anchor,Slope Configurations
AYeqAYfv_anchor,Bedding & Backfill Tables
AYeqAYfvAYfw_anchor,Stable Rock
AYeqAYfvAYfx_anchor,Type "A" Soils
AYeqAYfvAYfy_anchor,Type "B" Soils
AYeqAYfvAYfz_anchor,Type "C" Soils
AYeqAYf0_anchor,Excavation Tables
AYeqAYf0AYf1_anchor,Stable Rock
AYeqAYf0AYf2_anchor,Type "A" Soils
AYeqAYf0AYf3_anchor,Type "B" Soils
AYeqAYf0AYf4_anchor,Type "C" Soils
AYeqAYer_anchor,Hand Excavation - Backfill, Compaction
AYes_anchor,Hangers, Sleeves & Inserts
AYesAYpp_anchor,General Notes
AYesAYf5_anchor,Hanger Assemblies
AYesAYf5Agj8_anchor,Example - 2" Clevis Hanger with Beam Clamp
AYesAYf5AYf8_anchor,"Q"  Deck
AYesAYf5AYf9_anchor,Beam Clamps
AYesAYf5AYf-_anchor,C-Clamp
AYesAYf5AYf__anchor,Drill Shields
AYesAYf5AYf7_anchor,Plywood Deck w/ Wood Knocker
AYesAYf5AYf6_anchor,Steel Pan Deck or Plastic Pan Deck w/Bang-It
AYesAYf5AYia_anchor,Weld Beam Attachment
AYesAYjD_anchor,Hanger Components
AYesAYjDAYjE_anchor,All Thread Rod
AYesAYjDAYjH_anchor,Anchors and Inserts
AYesAYjDAYjG_anchor,Beam Clamps or C-Clamps
AYesAYjDAYjJ_anchor,Clevis Hanger
AYesAYjDAgjF_anchor,Gripple Cable
AYesAYjDAYjF_anchor,Hex Nuts
AYesAYjDAgdr_anchor,Pipe Roller Chairs
AYesAYjDAgdo_anchor,Riser Clamp
AYesAYjDAYjM_anchor,Roof Pipe Supports
AYesAYjDAgi0_anchor,Saddles and Shields
AYesAYjDAgdp_anchor,Split Ring Hanger
